Unnamed: 0,count,hate_speech,offensive_language,neither,label,tweet,ProcessedText,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,Mapped_label
14035,3,0,3,0,1,"Oomf a hoe. She know she a hoe, I know she a hoe, she wont claim she a hoe, so she say she aint a hoe, but...WE ALL KNOW YOU A HOE!!! HOE!","oomf a hoe . she know she a hoe , i know she a hoe , she wont claim she a hoe , so she say she aint a hoe , but .     we all know you a hoe   !     hoe   !",42,"[CLS] oomf a hoe . she know she a hoe , i know she a hoe , she wont claim she a hoe , so she say she aint a hoe , but .     we all know you a hoe   !     hoe   !",54,0
17282,3,0,3,0,1,"RT @PickinUpGirls: It goes from ""baby"" to ""hoe"", "" I love you"" to "" Fuck you I hate you"", "" I need you"" to "" Fuck off"" from "" You're my eve&#8230;","it goes from "" baby "" to "" hoe "" , "" i love you "" to "" fuck you i hate you "" , "" i need you "" to "" fuck off "" from "" you are my eve",41,"[CLS] it goes from "" baby "" to "" hoe "" , "" i love you "" to "" fuck you i hate you "" , "" i need you "" to "" fuck off "" from "" you are my eve",43,0
496,3,0,3,0,1,"""I used to dress up like a cop too.""
""Oh really?""
""Yeah...right after 9/11...mad pussy.""
""Really?""
""Yes...I'll NEVER FORGET.""",""" i used to dress up like a cop too . "" "" oh really ? "" "" yeah .   right after   /   .   mad pussy . "" "" really ? "" "" yes .   i will   never forget   . """,41,"[CLS] "" i used to dress up like a cop too . "" "" oh really ? "" "" yeah .   right after   /   .   mad pussy . "" "" really ? "" "" yes .   i will   never forget   . """,42,0
465,3,0,3,0,1,"""Her great grandmas a hoe,her grandmas a hoe,her moms and a hoe, and she's a hoe! It's a long line of hoes!"" -Grandpa Carl everyone",""" her great grandmas a hoe , her grandmas a hoe , her moms and a hoe , and she ' s a hoe ! it ' s a long line of hoes ! "" - grandpa carl everyone",39,"[CLS] "" her great grandmas a hoe , her grandmas a hoe , her moms and a hoe , and she ' s a hoe ! it ' s a long line of hoes ! "" - grandpa carl everyone",48,0
12296,3,0,3,0,1,"It's wifey over bitches, but money's over her, cuz money's under nothing, my life is such a blur, it's not the way it has to go...","it ' s wifey over bitches , but money ' s over her , cuz money ' s under nothing , my life is such a blur , it ' s not the way it has to go .",39,"[CLS] it ' s wifey over bitches , but money ' s over her , cuz money ' s under nothing , my life is such a blur , it ' s not the way it has to go .",43,0
13337,3,0,3,0,1,"My dad's friend was telling my dad and I about how he ""got some good pussy last night"", and how she was a ""good lay"". It was a real bummer.","my dad ' s friend was telling my dad and i about how he "" got some good pussy last night "" , and how she was a "" good lay "" . it was a real bummer .",39,"[CLS] my dad ' s friend was telling my dad and i about how he "" got some good pussy last night "" , and how she was a "" good lay "" . it was a real bummer .",41,0
11763,3,0,3,0,1,"Idgaf what u do to get it long as u go hard in that. Sell drugs, credit cards, checks, strip, sell pussy, whatever. Jst dn't b half-assed!","idgaf what u do to get it long as u go hard in that . sell drugs , credit cards , checks , strip , sell pussy , whatever . jst dn ' t b half - assed !",39,"[CLS] idgaf what u do to get it long as u go hard in that . sell drugs , credit cards , checks , strip , sell pussy , whatever . jst dn ' t b half - assed !",45,0
653,3,0,3,0,1,"""no pussy, or not tryna go to the studio, don't CALL my mufuckin crib like that, god. Yo. Word up god I will BUSS YO SHIT, god, word up""",""" no pussy , or not tryna go to the studio , do not   call   my mufuckin crib like that , god . yo . word up god i will   buss yo shit   , god , word up """,39,"[CLS] "" no pussy , or not tryna go to the studio , do not   call   my mufuckin crib like that , god . yo . word up god i will   buss yo shit   , god , word up """,46,0
11445,3,0,3,0,1,"I'd shut the fuck up or I'll just be wide and batter any boy you ever go out with haha. Im a cunt, so wit? You cani do shit to stop me... :)","i ' d shut the fuck up or i will just be wide and batter any boy you ever go out with haha . im a cunt , so wit ? you cani do shit to stop me .",39,"[CLS] i ' d shut the fuck up or i will just be wide and batter any boy you ever go out with haha . im a cunt , so wit ? you cani do shit to stop me .",43,0
18985,3,0,3,0,1,"RT @antijokeapple: ""mom i&#8217;ve had it. i&#8217;m dropping out""

""excuse me""

""i&#8217;m done with fake bitches. the hw. all of it. done""

""ur in 2nd grad&#8230;",""" mom i ve had it . i m dropping out "" "" excuse me "" "" i m done with fake bitches . the hw . all of it . done "" "" ur in 2 nd grad",39,"[CLS] "" mom i ve had it . i m dropping out "" "" excuse me "" "" i m done with fake bitches . the hw . all of it . done "" "" ur in 2 nd grad",44,0
